2019-04-13 14:19:12.190 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.calligraphy.CalligraphyAppApplicationTests], using SpringBootContextLoader
2019-04-13 14:19:12.210 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.calligraphy.CalligraphyAppApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2019-04-13 14:19:12.212 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.calligraphy.CalligraphyAppApplicationTests]: CalligraphyAppApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2019-04-13 14:19:12.471 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.calligraphy.CalligraphyAppApplication for test class com.calligraphy.CalligraphyAppApplicationTests
2019-04-13 14:19:12.686 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2019-04-13 14:19:12.722 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@1b1426f4, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@32b260fa, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@581ac8a8, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@6d4e5011, org.springframework.test.context.support.DirtiesContextTestExecutionListener@57d7f8ca, org.springframework.test.context.transaction.TransactionalTestExecutionListener@76c3e77a, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@78123e82, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@67c33749, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@fba92d3, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@662b4c69, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@fa49800, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@71238fc2]
2019-04-13 14:19:13.388 [main] INFO  com.calligraphy.CalligraphyAppApplicationTests - Starting CalligraphyAppApplicationTests on DESKTOP-TBI9BAK with PID 16004 (started by peng in C:\Users\peng\eclipse-workspace\calligraphyApp)
2019-04-13 14:19:13.389 [main] INFO  com.calligraphy.CalligraphyAppApplicationTests - The following profiles are active: dev
2019-04-13 14:19:15.434 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2019-04-13 14:19:15.440 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2019-04-13 14:19:15.576 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 99ms. Found 0 repository interfaces.
2019-04-13 14:19:16.395 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$36a621c8] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-04-13 14:19:21.921 [container-1] INFO  io.lettuce.core.EpollProvider - Starting without optional epoll library
2019-04-13 14:19:21.936 [container-1] INFO  io.lettuce.core.KqueueProvider - Starting without optional kqueue library
2019-04-13 14:19:23.990 [main] INFO  com.calligraphy.CalligraphyAppApplicationTests - Started CalligraphyAppApplicationTests in 11.177 seconds (JVM running for 13.031)
2019-04-13 21:53:50.641 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.calligraphy.CalligraphyAppApplicationTests], using SpringBootContextLoader
2019-04-13 21:53:50.657 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.calligraphy.CalligraphyAppApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2019-04-13 21:53:50.657 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.calligraphy.CalligraphyAppApplicationTests]: CalligraphyAppApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2019-04-13 21:53:50.797 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.calligraphy.CalligraphyAppApplication for test class com.calligraphy.CalligraphyAppApplicationTests
